Task ID;Task Name;LLM Name;Prompt Type;Sample ID;Lines of Code;Vulnerability Count;Weakness Density;CWE Ids;OWASP Categories
1;User Authentication;ChatGPT-3.5;Basic;01_Basic_ChatGPT_UserAuthentication.py;22;12;0.55;"CWE-916: Use of Password Hash With Insufficient Computational Effort; CWE-327: Use of a Broken or Risky Cryptographic Algorithm; CWE-209: Information Exposure Through an Error Message; CWE-307: Improper Restriction of Excessive Authentication Attempts; CWE-613: Insufficient Session Expiration; CWE-522: Insufficiently Protected Credentials; CWE-521: Weak Password Requirements; CWE-208: Observable Timing Discrepancy; CWE-778: Insufficient Logging; CWE-922: Insecure Storage of Sensitive Information; CWE-20: Improper Input Validation; CWE-316: Cleartext Storage of Sensitive Information in Memory";"A07:2021 – Identification and Authentication Failures; A02:2021 – Cryptographic Failures; A09:2021 – Security Logging and Monitoring Failures; A06:2021 – Vulnerable and Outdated Components; A03:2021 – Injection"
1;User Authentication;ChatGPT-3.5;Enhanced;01_Enhanced_ChatGPT_UserAuthentication.py;43;12;0.28;"CWE-209: Information Exposure Through an Error Message; CWE-89: Improper Neutralization of Special Elements Used in an SQL Command; CWE-306: Missing Authentication for Critical Function; CWE-345: Insufficient Verification of Data Authenticity; CWE-404: Improper Resource Shutdown or Release; CWE-20: Improper Input Validation; CWE-778: Insufficient Logging; CWE-316: Cleartext Storage of Sensitive Information in Memory; CWE-400: Uncontrolled Resource Consumption; CWE-755: Improper Handling of Exceptional Conditions; CWE-311: Missing Encryption of Sensitive Data; CWE-640: Weak Password Recovery Mechanism for Forgotten Password";"A07:2021 – Identification and Authentication Failures; A09:2021 – Security Logging and Monitoring Failures; A02:2021 – Cryptographic Failures; A03:2021 – Injection; A01:2021 – Broken Access Control"
1;User Authentication;DeepSeek-R1;Basic;01_Basic_DeepSeekR1_UserAuthentication.py;52;12;0.23;"CWE-798: Use of Hard-coded Credentials; CWE-489: Active Debug Code; CWE-307: Improper Restriction of Excessive Authentication Attempts; CWE-521: Weak Password Requirements; CWE-20: Improper Input Validation; CWE-614: Sensitive Cookie in Non-HTTPS Session; CWE-319: Cleartext Transmission of Sensitive Information; CWE-778: Insufficient Logging; CWE-922: Insecure Storage of Sensitive Information; CWE-352: Cross-Site Request Forgery; CWE-916: Use of Password Hash With Insufficient Computational Effort; CWE-384: Session Fixation";"A07:2021 – Identification and Authentication Failures; A02:2021 – Cryptographic Failures; A06:2021 – Vulnerable and Outdated Components; A01:2021 – Broken Access Control; A09:2021 – Security Logging and Monitoring Failures; A03:2021 – Injection"
1;User Authentication;DeepSeek-R1;Enhanced;01_Enhanced_DeepSeekR1_UserAuthentication.py;98;13;0.13;"CWE-798: Use of Hard-coded Credentials; CWE-295: Improper Certificate Validation; CWE-307: Improper Restriction of Excessive Authentication Attempts; CWE-778: Insufficient Logging; CWE-204: Observable Response Discrepancy; CWE-613: Insufficient Session Expiration; CWE-307: Improper Authentication; CWE-640: Weak Password Recovery Mechanism for Forgotten Password; CWE-20: Improper Input Validation; CWE-521: Weak Password Requirements; CWE-922: Insecure Storage of Sensitive Information; CWE-352: Cross-Site Request Forgery; CWE-755: Improper Handling of Exceptional Conditions";"A07:2021 – Identification and Authentication Failures; A02:2021 – Cryptographic Failures; A09:2021 – Security Logging and Monitoring Failures; A06:2021 – Vulnerable and Outdated Components; A01:2021 – Broken Access Control; A03:2021 – Injection"
1;User Authentication;Claude 3.7 Sonnet;Basic;01_Basic_Claude_UserAuthentication.py;97;13;0.13;"CWE-798: Use of Hard-coded Credentials; CWE-489: Active Debug Code; CWE-755: Improper Handling of Exceptional Conditions; CWE-200: Exposure of Sensitive Information to an Unauthorized Actor; CWE-613: Insufficient Session Expiration; CWE-20: Improper Input Validation; CWE-307: Improper Restriction of Excessive Authentication Attempts; CWE-287: Improper Authentication; CWE-778: Insufficient Logging; CWE-352: Cross-Site Request Forgery; CWE-640: Weak Password Recovery Mechanism for Forgotten Password; CWE-316: Cleartext Storage of Sensitive Information in Memory; CWE-259: Use of Hard-coded Password";"A07:2021 – Identification and Authentication Failures; A06:2021 – Vulnerable and Outdated Components; A09:2021 – Security Logging and Monitoring Failures; A01:2021 – Broken Access Control; A03:2021 – Injection"
1;User Authentication;Claude 3.7 Sonnet;Enhanced;01_Enhanced_Claude_UserAuthentication.py;222;10;0.05;"CWE-330: Use of Insufficiently Random Values; CWE-16: Configuration; CWE-200: Exposure of Sensitive Information to an Unauthorized Actor; CWE-613: Insufficient Session Expiration; CWE-362: Race Condition; CWE-755: Improper Handling of Exceptional Conditions; CWE-862: Missing Authorization; CWE-310: Cryptographic Issues; CWE-319: Cleartext Transmission of Sensitive Information; CWE-532: Insertion of Sensitive Information into Log File";"A02:2021 – Cryptographic Failures; A07:2021 – Identification and Authentication Failures; A06:2021 – Vulnerable and Outdated Components; A09:2021 – Security Logging and Monitoring Failures; A01:2021 – Broken Access Control; A03:2021 – Injection"
1;User Authentication;Gemini 2.5 Pro;Enhanced;01_Enhanced_Gemini_UserAuthentication.py;65;13;0.20;"CWE-922: Insecure Storage of Sensitive Information; CWE-306: Missing Authentication for Critical Function; CWE-307: Improper Restriction of Excessive Authentication Attempts; CWE-20: Improper Input Validation; CWE-778: Insufficient Logging; CWE-640: Weak Password Recovery Mechanism for Forgotten Password; CWE-319: Cleartext Transmission of Sensitive Information; CWE-316: Cleartext Storage of Sensitive Information in Memory; CWE-307: Improper Authentication; CWE-755: Improper Handling of Exceptional Conditions; CWE-209: Information Exposure Through an Error Message; CWE-330: Use of Insufficiently Random Values; CWE-208: Observable Timing Discrepancy";"A07:2021 – Identification and Authentication Failures; A02:2021 – Cryptographic Failures; A09:2021 – Security Logging and Monitoring Failures; A06:2021 – Vulnerable and Outdated Components; A01:2021 – Broken Access Control; A03:2021 – Injection"
1;User Authentication;Gemini 2.5 Pro;Basic;01_Basic_Gemini_UserAuthentication.py;23;13;0.57;"CWE-916: Use of Password Hash With Insufficient Computational Effort; CWE-327: Use of a Broken or Risky Cryptographic Algorithm; CWE-307: Improper Restriction of Excessive Authentication Attempts; CWE-521: Weak Password Requirements; CWE-20: Improper Input Validation; CWE-319: Cleartext Transmission of Sensitive Information; CWE-778: Insufficient Logging; CWE-613: Insufficient Session Expiration; CWE-922: Insecure Storage of Sensitive Information; CWE-640: Weak Password Recovery Mechanism for Forgotten Password; CWE-316: Cleartext Storage of Sensitive Information in Memory; CWE-208: Observable Timing Discrepancy; CWE-798: Use of Hard-coded Credentials";"A07:2021 – Identification and Authentication Failures; A02:2021 – Cryptographic Failures; A09:2021 – Security Logging and Monitoring Failures; A06:2021 – Vulnerable and Outdated Components; A01:2021 – Broken Access Control; A03:2021 – Injection"
1;User Authentication;Mistral Small 3.1;Basic;01_Basic_MistralSmall_UserAuthentication.py;23;13;0.57;"CWE-256: Unprotected Storage of Credentials; CWE-916: Use of Password Hash With Insufficient Computational Effort; CWE-307: Improper Restriction of Excessive Authentication Attempts; CWE-521: Weak Password Requirements; CWE-20: Improper Input Validation; CWE-319: Cleartext Transmission of Sensitive Information; CWE-778: Insufficient Logging; CWE-613: Insufficient Session Expiration; CWE-922: Insecure Storage of Sensitive Information; CWE-640: Weak Password Recovery Mechanism for Forgotten Password; CWE-316: Cleartext Storage of Sensitive Information in Memory; CWE-208: Observable Timing Discrepancy; CWE-359: Exposure of Private Information";"A07:2021 – Identification and Authentication Failures; A02:2021 – Cryptographic Failures; A09:2021 – Security Logging and Monitoring Failures; A06:2021 – Vulnerable and Outdated Components; A01:2021 – Broken Access Control; A03:2021 – Injection"
1;User Authentication;Mistral Small 3.1;Enhanced;01_Enhanced_MistralSmall_UserAuthentication.py;49;16;0.33;"CWE-922: Insecure Storage of Sensitive Information; CWE-307: Improper Restriction of Excessive Authentication Attempts; CWE-20: Improper Input Validation; CWE-778: Insufficient Logging; CWE-321: Use of Hard-coded Cryptographic Key; CWE-613: Insufficient Session Expiration; CWE-319: Cleartext Transmission of Sensitive Information; CWE-352: Cross-Site Request Forgery; CWE-640: Weak Password Recovery Mechanism for Forgotten Password; CWE-614: Sensitive Cookie in Non-HTTPS Session; CWE-489: Active Debug Code; CWE-916: Use of Password Hash With Insufficient Computational Effort; CWE-316: Cleartext Storage of Sensitive Information in Memory; CWE-209: Information Exposure Through an Error Message; CWE-755: Improper Handling of Exceptional Conditions; CWE-287: Improper Authentication; CWE-639: Insecure Direct Object References";"A07:2021 – Identification and Authentication Failures; A02:2021 – Cryptographic Failures; A09:2021 – Security Logging and Monitoring Failures; A06:2021 – Vulnerable and Outdated Components; A01:2021 – Broken Access Control; A03:2021 – Injection"
