Task ID;Task Name;LLM Name;Prompt Type;Sample ID;Lines of Code ;Vulnerability Count;Weakness Density;CWE IDs;OWASP Category
3;Token-Based Authentication;ChatGPT-3.5;Basic;03_Basic_ChatGPT_TokenBasedAuthentication.py;43;12;0.279;798 (Hardcoded Credentials), 259 (Hardcoded Password), 330 (Insufficiently Random Values), 321 (Weak Key), 613 (Insufficient Session Expiration), 287 (Improper Authentication), 294 (Token Replay), 345/346 (Lack of Audience/Issuer Claims), 319 (Cleartext Transmission), 209/703 (Error Handling), 922/200 (Token Exposure), 269 (No Privilege Assignment);A2:2021 (Broken Auth), A3:2021 (Sensitive Data Exposure), A5:2021 (Security Misconfiguration), A7:2021 (Identification/Authentication Failures)
3;Token-Based Authentication;Claude 3.7;Basic;03_Basic_Claude_TokenBasedAuthentication.py;72;16;0.222;798 (Hardcoded Credentials), 259, 256 (Plaintext Password Storage), 489 (Debug Code), 209/703 (Info Disclosure), 307 (No Rate Limiting), 319, 613, 287, 294, 330, 345/346, 922/200, 269, 352 (No CSRF);A2:2021, A3:2021, A5:2021, A7:2021, A8:2021 (Software/Data Integrity), A9:2021 (Logging/Monitoring)
3;Token-Based Authentication;DeepSeek-R1;Basic;03_Basic_DeepSeekR1_TokenBasedAuthentication.py;68;15;0.221;798, 259, 330/321, 613/287, 294, 345/346, 319, 209/703, 489, 922/200, 269;A2:2021, A3:2021, A5:2021, A7:2021
3;Token-Based Authentication;Gemini 2.5;Basic;03_Basic_Gemini_TokenBasedAuthentication.py;57;12;0.211;798, 259, 532 (Info in Logs), 922, 1104 (Unmaintained Components), 287, 20 (No Input Validation), 209/703, 613, 307, 352, 269, 345;A2:2021, A3:2021, A5:2021, A7:2021, A8:2021, A9:2021
3;Token-Based Authentication;Mistral Small;Basic;03_Basic_MistralSmall_TokenBasedAuthentication.py;54;14;0.259;798, 259, 330/321, 613/287, 345/346, 294, 269, 489, 319, 209/703, 922/200, 204 (User Enum), 396 (Generic Exception), 916 (Weak Hash), 710 (Coding Standards);A2:2021, A3:2021, A5:2021, A7:2021, A9:2021
3;Token-Based Authentication;ChatGPT-3.5;Enhanced;03_Enhanced_ChatGPT_TokenBasedAuthentication.py;61;12;0.197;798, 259, 307, 319, 613, 209, 20, 778 (No Logging), 352, 922;A2:2021, A3:2021, A5:2021, A7:2021, A9:2021
3;Token-Based Authentication;Claude 3.7;Enhanced;03_Enhanced_Claude_TokenBasedAuthentication.py;239;12;0.050;330, 922, 307, 532, 319, 208 (Timing), 20, 250 (Privilege Escalation), 307, 798, 352;A2:2021, A3:2021, A5:2021, A7:2021, A9:2021
3;Token-Based Authentication;DeepSeek-R1;Enhanced;03_Enhanced_DeepSeekR1_TokenBasedAuthentication.py;88;13;0.148;798, 922, 209, 295 (Improper Certificate), 307, 704 (Type Confusion), 20, 613, 407 (Inefficiency), 352, 755 (Exception Handling);A2:2021, A3:2021, A5:2021, A7:2021, A9:2021
3;Token-Based Authentication;Gemini 2.5;Enhanced;03_Enhanced_Gemini_TokenBasedAuthentication.py;121;12;0.099;798, 259, 330, 200, 922, 345, 346, 269, 294, 613, 209, 703, 489, 319, 204, 307, 20, 352, 755;A2:2021, A3:2021, A5:2021, A7:2021, A8:2021, A9:2021
3;Token-Based Authentication;Mistral Small;Enhanced;03_Enhanced_MistralSmall_TokenBasedAuthentication.py;39;12;0.308;798, 259, 330, 613, 345, 346, 269, 294, 922, 287, 209, 703, 489, 319, 200;A2:2021, A3:2021, A5:2021, A7:2021, A9:2021
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;; ;;;;;;;
;;;;;;;;;
;; ;;;;;;;
;;;;;;;;;
;; ;;;;;;;
